"","compustats_tic","crsp_tic"
"420","SUN.1","SUN"
"421","STI","STI"
"422","SVU","SVU"
"423","SYN.1","SYN"
"424","SYY","SYY"
"425","TRW.1","TRW"
"426","TDM.","TDM"
"427","RSHCQ","TAN"
"428","TEK.1","TEK"
"429","TCOMA","TCOMA"
"430","ATI","TDY"
"431","TIN","TIN"
"432","TEN","TGT"
"433","TX.2","TX"
"434","TXN","TXN"
"435","0033A","TXU"
"436","TXT","TXT"
"437","TNB","TNB"
"438","TWX.1","TWX"
"439","TMC","TMC"
"440","TKR","TKR"
"441","TKA.","TKA"
"442","GL","TMK"
"443","1231B","TOY"
"444","TA.1","TA"
"445","TIC.1","TIC"
"446","TRCO","TRB"
"447","TYC","TYC"
"448","UAL","UAL"
"449","FG.1","FG"
"450","USG","USG"
"451","UN","UN"
"452","UCC.2","UCC"
"453","DOW2","UK"
"454","UNP","UNP"
"455","3UAIRQ","U"
"456","UH","UH"
"457","MROX.CM","X"
"458","UST.1","UST"
"459","UTX","UTX"
"460","S","UT"
"461","UCL","UCL"
"462","PNU.1","UPJ"
"463","USH.1","USH"
"464","VFC","VFC"
"465","WMT","WMT"
"466","WBA","WAG"
"467","WANG","WAN"
"468","WLA","WLA"
"469","WMX","WMX"
"470","WFC.Z","WFC"
"471","WEN.2","WEN"
"472","CBS.2","WX"
"473","WLBAQ","WMOR"
"474","MWV","W"
"475","WETT","WETT"
"476","WY","WY"
"477","WHR","WHR"
"478","WMB","WMB"
"479","WINN","WIN"
"480","FL","Z"
"481","WOR","WTHG"
"482","WWY","WWY"
"483","XRX","XRX"
"484","YRCW","YELL"
"485","TJX","TJX"
"486","ZE","ZE"
"487","ZRN","ZRN"
"488","CYM.1","CYM"
"489","ORCL","ORCL"
"490","KBH","KBH"
"491","JOY","HPH"
"492","PMI.2","PMI"
"493","ORX","ORX"
"494","MII.3","MII"
"495","Q.2","USW"
"496","PVN.2","CPH"
"497","ECO.2","ECO"
"498","NLC.2","NLC"
"499","CZR","PRI"
"500","CTB","CTB"
"501","3MRNKQ","MRN"
"502","MKG","IMA"
"503","5938B","BMET"
"504","PBY.1","PBY"
"505","EME","JWP"
"506","CVN.3","CVN"
"507","USBC.","USBC"
"508","NKE","NKE"
"509","CFL.1","CSFN"
"510","SFS.1","SFR"
"511","AZA.1","AZA"
"512","BV.2","BV"
"513","BOAT.","BOAT"
"514","KATE","LIZ"
"515","E.2","E"
"516","BRNO20","BRNO"
"517","MRO","MRO"
"518","PT.1","PT"
"519","MGI","DL"
"520","X","X"
"521","G.1","G"
"522","AEE","UEP"
"523","NOVL","NOVL"
"524","GLK.1","GLK"
"525","SPC.2","SPK"
"526","AMGN","AMGN"
"527","FMCC","FRE"
"528","BAC","NB"
"529","S","FON"
"530","AGN.2","AGN"
"531","KRB","KRB"
"532","FBF","FLT"
"533","SPC.2","SPC"
"534","4622B","CEN"
"535","USS.2","USS"
"536","WLBAQ","WCX"
"537","GIDL","GIDL"
"538","JAVA","SUNW"
"539","LIN","PX"
"540","IPG","IPG"
"541","GHC.1",""
"542","H.2","H"
"543","GHC.1","GHC"
"544","MCAWA","MCAWA"
"545","DWD","DWD"
"546","BCO","PCO"
"547","BCO","PZS"
"548","HCA","COL"
"549","RAL.","RAL"
"550","PHB.1","PHYB"
"551","WB.1","WB"
"552","GOLD","ABX"
"553","HST","HMT"
"554","BR.2","BR"
"555","MAR","MAR"
"556","COST","PCCW"
"557","CSCO","CSCO"
"558","CFL.1","CFL"
"559","C","TRV"
"560","EMN","EMN"
"561","KEY","SCY"
"562","UNM","UNM"
"563","MKG","MKG"
"564","KEY","KEY"
"565","USHC","USHC"
"566","ATI.1","PTW"
"567","WAI.1","WAI"
"568","ATI.1","ATI"
"569","CNP2","NAE"
"570","MSFT","MSFT"
"571","PVN.2","PVN"
"572","LUV","LUV"
"573","UNH","UNH"
"574","SIAL","SIAL"
"575","CBS","VIA"
"576","UCM.2","UCM"
"577","MU","MU"
"578","NCC","NCC"
"579","FDC","FDC"
"580","GLD.2","GLD"
"581","DUK6","CIN"
"582","AT.2","AT"
"583","SGICQ","SGI"
"584","GPU.","GPU"
"585","BSX","BSX"
"586","AMAT","AMAT"
"587","BK","BK"
"588","LI.3","LDW"
"589","LMT","LMT"
"590","THC","THC"
"591","CAR","CU"
"592","TEN","TEN"
"593","L","LTR"
"594","3FTLAQ","FTL"
"595","ETS","CS"
"596","DRI","DRI"
"597","HBC2","RNB"
"598","TLAB","TLAB"
"599","FCX","FCX"
"600","CZR","HET"
"601","ALL","ALL"
"602","WLL.1","WMTT"
"603","MS","MS"
"604","USB.1","FBS"
"605","CMA","CMA"
"606","M","FD"
"607","PPL","PPL"
"608","PHB.1","PHB"
"609","CBB.1","CBB"
"610","PNU.1","PNU"
"611","HUM","HUM"
"612","LSI.1","LSI"
"613","FCN.1","FCN"
"614","COMS","COMS"
"615","ITT.1","ITT"
"616","HIG","HIG"
"617","DTE","DTE"
"618","BCO","PZB"
"619","CSE.3","CSE"
"620","EIX","EIX"
"621","BAY.3","BAY"
"622","MCIP","WCOM"
"623","FITB","FITB"
"624","GIC.3","GIC"
"625","3CNCEQ1","GNT"
"626","EMC","EMC"
"627","JPM","CMB"
"628","AON","AOC"
"629","ADSK","ADSK"
"630","TUP","TUP"
"631","BMG.1","BMG"
"632","MTG","MTG"
"633","MGI","VVI"
"634","MAY.2","MAY"
"635","OC","OWC"
"636","SEG.2","SEG"
"637","ATI","ALT"
"638","HFS.","HFS"
"639","DELL","DELL"
"640","LU","LU"
"641","CVS","CVS"
"642","UPR.1","UPR"
"643","MBI","MBI"
"644","IMS","CZT"
"645","FRO.1","FRO"
"646","STJ","STJ"
"647","TMO","TMO"
"648","WLL.1","WLL"
"649","AZO","AZO"
"650","GDT","GDT"
"651","IKN","IKN"
"652","EHC","HRC"
"653","CNO","CNC"
"654","COST","COST"
"655","PTC","PMTC"
"656","ANV.1","ANV"
"657","CAH","CAH"
"658","ADBE","ADBE"
"659","SCHW","SCH"
"660","BEAM.2","FO"
"661","PVN","PVN"
"662","CFC.3","CCR"
"663","EFX","EFX"
"664","MS","MWD"
"665","WAMUQ","WAMU"
"666","APA","APA"
"667","GIC.3","NLV"
"668","SAI.1","SAI"
"669","OI","OI"
"670","APC","APC"
"671","PGR","PGR"
"672","IHRT","CCU"
"673","USB.1","USB"
"674","MIR.1","MIR"
"675","HBAN","HBAN"
"676","FJ","FJ"
"677","STT","STT"
"678","KLAC","KLAC"
"679","SMS.2","SMS"
"680","HBOC.1","HBOC"
"681","YUM","YUM"
"682","FE","FE"
"683","BBT","BBK"
"684","SNV","SNV"
"685","CAR","CD"
"686","OMC","OMC"
"687","CBS.2","CBS"
"688","CINF","CINF"
"689","BFO.2","BFO"
"690","NTRS","NTRS"
"691","AEE","AEE"
"692","SUB.2","SUB"
"693","BIG","CNS"
"694","LEHMQ","LEH"
"695","AM.1","AM"
"696","MTL.3","MTL"
"697","SEE","SEE"
"698","NXTL","NXTL"
"699","AFS","AFS"
"700","BEN","BEN"
"701","GTW","GTW"
"702","SRE","SRE"
"703","NAVI","SLM"
"704","BSC.1","BSC"
"705","ASND.1","ASND"
"706","COF","COF"
"707","UMG.Z","UMG"
"708","IMS","RX"
"709","DG","DG"
"710","FMY.1","FMY"
"711","WM","WMI"
"712","RF","RGBK"
"713","EDS.","EDS"
"714","PVT.","PVT"
"715","KSS","KSS"
"716","PAYX","PAYX"
"717","NGH.2","RN"
"718","UPC.","UPC"
"719","BMC","BMCS"
"720","AES","AES"
"721","HCR.1","HCR"
"722","PSFT.","PSFT"
"723","MZIAQ","MZ"
"724","C","CCI"
"725","SPXC","SPW"
"726","BAC","BAC"
"727","NCE.1","NCE"
"728","CCEP","CCE"
"729","SPLS","SPLS"
"730","DHR","DHR"
"731","WFC","WFC"
"732","SWY","SWY"
"733","C","C"
"734","USB","FSR"
"735","PZE.1","PZE"
"736","CCL","CCL"
"737","WAMUQ","WM"
"738","SLR","SLR"
"739","TWX","AOL"
"740","CPWR.1","CPWR"
"741","BBT","BBT"
"742","CNP","REI"
"743","SOTR","SOTR"
"744","ASO.1","ASO"
"745","CTL","CTL"
"746","TAP","RKY"
"747","KSU","KSU"
"748","CMS","CMS"
"749","ABI.3","PEB"
"750","AGN","WPI"
"751","AFL","AFL"
"752","CEG","CEG"
"753","PWJ.","PWJ"
"754","APTV","DPH"
"755","BBY","BBY"
"756","PGN3","FPC"
"757","JWN","JWN"
"758","NGH.2","NGH"
"759","VMC","VMC"
"760","ODP","ODP"
"761","WLP.1","WLP"
"762","NTAP","NTAP"
"763","ADCT.1","ADCT"
"764","AW","AW"
"765","QCOM","QCOM"
"766","LXK","LXK"
"767","COC1","COC"
"768","PNW","PNW"
"769","TOS.1","TOS"
"770","SXCL","ADPT"
"771","BBBY","BBBY"
"772","GLBC","GBLX"
"773","ADI","ADI"
"774","PKI","PKI"
"775","EP","EPG"
"776","LEG","LEG"
"777","TROW","TROW"
"778","CMVT","CMVT"
"779","FBF","FBF"
"780","MOLX","MOLX"
"781","OK.2","OK"
"782","ATI","ATI"
"783","TER","TER"
"784","XLNX","XLNX"
"785","0573B","QTRN"
"786","CTXS","CTXS"
"787","PTV","PTV"
"788","HON","HON"
"789","XOM","XOM"
"790","RIG","RIG"
"791","AABA","YHOO"
"792","BGEN","BGEN"
"793","TGT","TGT"
"794","HOG","HDI"
"795","YNR.1","YNR"
"796","CNXT.1","CNXT"
"797","LLTC","LLTC"
"798","VRTS.1","VRTS"
"799","TSG.2","TSG"
"800","PHA.1","PHA"
"801","WOR","WOR"
"802","ALTR.1","ALTR"
"803","SAPE","SAPE"
"804","SEBL","SEBL"
"805","RSHCQ","RSH"
"806","MXIM","MXIM"
"807","APCC.","APCC"
"808","HCA","HCA"
"809","A","A"
"810","TIF","TIF"
"811","NVLS.1","NVLS"
"812","CF.6","CF"
"813","MEDI","MEDI"
"814","SBUX","SBUX"
"815","SANM","SANM"
"816","MERQ","MERQ"
"817","BRCM","BRCM"
"818","CVG","CVG"
"819","VC","VC"
"820","VZ","VZ"
"821","CIT.1","CIT"
"822","VIAV","JDSU"
"823","Q.2","Q"
"824","PALM","PALM"
"825","JNS","SV"
"826","KSE","KSE"
"827","XEL","XEL"
"828","DVN","DVN"
"829","ITT","ITT"
"830","DYN","DYN"
"831","KG","KG"
"832","NBR","NBR"
"833","NI","NI"
"834","EXC","EXC"
"835","EOG","EOG"
"836","PWER","PWER"
"837","5933B","AV"
"838","MCO","MCO"
"839","RHI","RHI"
"840","CHIR.1","CHIR"
"841","FRX","FRX"
"842","HOT","HOT"
"843","ABI.3","ABI"
"844","BVSN","BVSN"
"845","8356B","CPN"
"846","GLBC","GX"
"847","AYE","AYE"
"848","ADP","ADP"
"849","DUK8","PGN"
"850","KMI","KMI"
"851","SYK","SYK"
"852","SBL.2","SBL"
"853","AMBC","ABK"
"854","VTSS","VTSS"
"855","INTU","INTU"
"856","QLGC","QLGC"
"857","AMCC","AMCC"
"858","MET","MET"
"859","JPM","JPM"
"860","NE","NE"
"861","JBL","JBL"
"862","CTAS","CTAS"
"863","USB","USB"
"864","5952B","UVN"
"865","FTR","CZN"
"866","CE.2","CEFT"
"867","FISV","FISV"
"868","BMC","BMC"
"869","GEN.3","MIR"
"870","BIG","BLI"
"871","MWW","TMPW"
"872","PBG","PBG"
"873","ZION","ZION"
"874","JHF","JHF"
"875","PMCS","PMCS"
"876","AWE.2","AWE"
"877","COL","COL"
"878","FDO","FDO"
"879","IGT.1","IGT"
"880","ETS","ETS"
"881","XL","XL"
"882","ABC","ABC"
"883","CIEN","CIEN"
"884","ZBH","ZMH"
"885","WB.3","WB"
"886","IMNX","IMNX"
"887","CVX","CVX"
"888","TE","TE"
"889","EOP","EOP"
"890","HMA","HMA"
"891","EQR","EQR"
"892","NVDA","NVDA"
"893","EP","EP"
"894","GENZ","GENZ"
"895","JNY","JNY"
"896","WAT","WAT"
"897","RATL","RATL"
"898","MWV","MWV"
"899","PCL","PCL"
"900","CB","ACE"
"901","MI.1","MI"
"902","WYE","WYE"
"903","TT.2","ASD"
"904","RF","RF"
"905","FHN","FTN"
"906","HPQ","HPQ"
"907","BJS.1","BJS"
"908","APOL","APOL"
"909","SPG","SPG"
"910","UPS","UPS"
"911","0139A","SDS"
"912","NFB","NFB"
"913","EA","ERTS"
"914","EBAY","EBAY"
"915","GS","GS"
"916","PRU","PRU"
"917","ANTM","ATH"
"918","PFG","PFG"
"919","TRV","TAP"
"920","RAI","RJR"
"921","MON","MON"
"922","COP","COP"
"923","CNP","CNP"
"924","CMCSA","CMCSA"
"925","CE.2","CE"
"926","CFC.3","CFC"
"927","DGX","DGX"
"928","JNS","JNS"
"929","AN","AN"
"930","MKC","MKC"
"931","EHC",""
"932","NLOK","SYMC"
"933","AIV","AIV"
"934","FII","FII"
"935","MWW","MNST"
"936","PLD","PLD"
"937","MHS","MHS"
"938","ESRX","ESRX"
"939","TWX","TWX"
"940","BIIB","BIIB"
"941","CMI","CMI"
"942","MTB","MTB"
"943","RRD","RRD"
"944","ACS","ACS"
"945","CMX.1","CMX"
"946","ETFC","ET"
"947","FHN","FHN"
"948","MYL","MYL"
"949","VLO","VLO"
"950","TRV","STA"
"951","HSP","HSP"
"952","STD2","SOV"
"953","GILD","GILD"
"954","FSH.2","FSH"
"955","RAI","RAI"
"956","TPR","COH"
"957","LH","LH"
"958","CIT","CIT"
"959","OMX","OMX"
"960","LLL","LLL"
"961","BX1","FSL"
